MON,Date Rptd,DR. NO,DATE OCC,TIME OCC,AREA,AREA NAME,RD,Crm Cd,Crm Cd Desc,Status,Status Desc,LOCATION,Cross Street,Location 1
12,12/2/2015 0:00,151821301,12/2/2015 0:00,900,18,Southeast,1823,510,VEHICLE - STOLEN,IC,Invest Cont,         AVALON,   102ND,"(33.9438, -118.2652)"
12,12/2/2015 0:00,151821288,12/1/2015 0:00,2030,18,Southeast,1801,510,VEHICLE - STOLEN,IC,Invest Cont,  500 W  92ND                         ST,,"(33.9528, -118.2827)"
12,12/2/2015 0:00,151821323,12/2/2015 0:00,1515,18,Southeast,1835,520,VEHICLE - ATTEMPT STOLEN,IC,Invest Cont,10400    PARMELEE                     AV,,"(33.9425, -118.2506)"
12,12/2/2015 0:00,151821280,12/1/2015 0:00,2045,18,Southeast,1824,520,VEHICLE - ATTEMPT STOLEN,IC,Invest Cont, 9700    MCKINLEY                     AV,,"(33.9484, -118.2608)"
12,12/2/2015 0:00,151821289,12/2/2015 0:00,40,18,Southeast,1802,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),IC,Invest Cont,  100 E  MANCHESTER                   AV,,"(33.9601, -118.2739)"
12,12/2/2015 0:00,151821291,12/2/2015 0:00,200,18,Southeast,1832,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),IC,Invest Cont,10500 S  FIGUEROA                     ST,,"(33.9408, -118.2826)"
12,12/2/2015 0:00,151821308,12/2/2015 0:00,400,18,Southeast,1824,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),IC,Invest Cont,  700 E  97TH                         ST,,"(33.9484, -118.2630)"
12,12/2/2015 0:00,151821324,11/26/2015 0:00,1200,18,Southeast,1839,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",IC,Invest Cont,         JUNIPER,   SANTA ANA BL,"(33.9359, -118.2335)"
12,12/2/2015 0:00,151821274,11/10/2015 0:00,1150,18,Southeast,1849,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",IC,Invest Cont, 1900 E  114TH                        ST,,"(33.9315, -118.2390)"
12,12/2/2015 0:00,151821278,12/1/2015 0:00,730,18,Southeast,1838,440,THEFT PLAIN - PETTY ($950 & UNDER),IC,Invest Cont, 2100    SANTA ANA                    BL,,"(33.9360, -118.2348)"
